customerid,actual_churn,predicted_churn,churn_probability,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,cltv,risk_segment,expected_monthly_revenue_at_risk,expected_annual_revenue_at_risk,retention_priority_score,priority_group
9701-CDXHR,0,0,0.27490133,Female,No,Yes,No,51,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,69.15,3649.6,5187,Low Risk,19.009427002072336,228.11312402486803,1425.9132011532784,High Priority
7130-CTCUS,0,0,0.22190647,Male,Yes,Yes,No,16,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),54.55,825.1,3324,Low Risk,12.10499784424901,145.2599741309881,737.6171005368233,High Priority
1894-IGFSG,1,1,0.49127954,Female,No,No,No,22,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,89.25,1907.85,3161,Medium Risk,43.84669916331768,526.1603899598122,1552.9346336722374,High Priority
0871-URUWO,1,1,0.73732686,Male,No,Yes,No,13,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.25,1359.0,2003,High Risk,75.39167147874832,904.7000577449799,1476.8657014369965,High Priority
0057-QBUQH,0,0,0.010893656,Female,No,No,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,25.1,1070.15,4797,Low Risk,0.27343076411634687,3.281169169396162,52.25686754845083,Low Priority
9611-CTWIH,1,1,0.7723676,Female,No,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.45,240.45,3591,High Risk,69.08828151822091,829.0593782186509,2773.5720394849777,Critical Priority
8058-DMYRU,0,1,0.46162882,Male,Yes,No,No,54,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,4931.8,5232,Medium Risk,41.56967564374208,498.836107724905,2415.24200963974,Critical Priority
5351-QESIO,0,0,0.39302802,Male,No,No,Yes,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.2,24.2,4276,Low Risk,9.511278104782104,114.13533725738525,1680.5878171920776,High Priority
4302-ZYFEL,0,0,0.008556008,Male,No,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.55,1403.1,5366,Low Risk,0.175825971364975,2.1099116563797,45.91154074668884,Low Priority
6134-KWTBV,0,0,0.014365502,Male,No,No,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.4,1429.65,5822,Low Risk,0.33615273982286453,4.033832877874374,83.63595090806484,Low Priority
2034-GDRCN,1,1,0.794308,Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,4157,High Risk,71.80544381141664,861.6653257369996,3301.938384115696,Critical Priority
9544-PYPSJ,0,0,0.05617388,Female,Yes,Yes,Yes,62,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),96.1,6019.35,5868,Low Risk,5.398309834674,64.779718016088,329.628325805068,Medium Priority
4208-UFFGW,1,0,0.42408043,Male,Yes,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.95,85.15,5900,Low Risk,19.062415394186974,228.7489847302437,2502.074545621872,Critical Priority
9537-JALFH,0,0,0.0040653874,Male,No,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.9,1356.7,6058,Low Risk,0.08090120959095656,0.9708145150914788,24.628116969950497,Low Priority
4415-IJZTP,1,1,0.8438821,Female,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,74.5,2016,High Risk,62.86921525001526,754.4305830001831,1701.2662811279297,High Priority
4701-MLJPN,1,0,0.2278065,Male,No,No,No,31,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,55.25,1715.65,2933,Low Risk,12.586308773607016,151.0357052832842,668.1564458459616,Medium Priority
7515-LODFU,0,0,0.016164107,Male,Yes,No,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.3,1356.3,4042,Low Risk,0.32813137713819746,3.9375765256583692,65.33532149717212,Low Priority
4927-WWOOZ,0,1,0.8518103,Male,No,Yes,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.45,171.45,4889,High Risk,77.8980497866869,934.7765974402428,4164.500441849232,Critical Priority
4067-HLYQI,0,0,0.34098896,Female,No,No,No,33,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.4,2406.1,4860,Low Risk,24.005623054504397,288.06747665405277,1657.206364274025,High Priority
6184-DYUOB,0,0,0.24261534,Female,No,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.6,55.25,2941,Low Risk,4.755260705947876,57.06312847137451,713.5317212343216,High Priority
9209-NWPGU,0,0,0.06087083,Male,No,No,No,44,Yes,No,DSL,Yes,No,No,Yes,Yes,No,One year,No,Electronic check,65.4,2774.55,5827,Low Risk,3.980952280014754,47.77142736017704,354.6943262331188,Medium Priority
9851-KIELU,1,1,0.6469809,Male,No,No,No,10,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.1,1043.3,5803,Medium Risk,71.23259507417679,854.7911408901214,3754.430056452751,Critical Priority
3199-XGZCY,0,1,0.6924502,Female,No,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.25,576.7,2332,Medium Risk,52.10687945783138,625.2825534939766,1614.793925523758,High Priority
4226-KKDON,0,0,0.34960184,Male,No,No,No,8,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,66.65,520.95,3804,Low Risk,23.300962303578856,279.6115476429463,1329.8853803873062,High Priority
1085-LDWAM,0,0,0.008097195,Female,No,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.35,1442.65,5188,Low Risk,0.1647779196035117,1.9773350352421404,42.00824800506234,Low Priority
6825-UYPFK,1,0,0.34703225,Female,No,No,No,23,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),75.6,1758.6,2115,Low Risk,26.235638022422787,314.82765626907343,733.9732065796852,High Priority
1767-CJKBA,0,0,0.015939401,Male,No,No,No,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.1,1697.7,6025,Low Risk,0.400078976713121,4.800947720557452,96.0348938126117,Low Priority
7181-BQYBV,1,1,0.90499884,Female,No,Yes,No,1,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.45,102.45,4811,High Risk,92.7171310454607,1112.6055725455285,4353.949413955212,Critical Priority
0178-CIIKR,0,0,0.15380618,Female,No,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,58.0,5949,Low Risk,3.0684332862496375,36.82119943499565,914.9929634034634,High Priority
4256-ZWTZI,0,0,0.1534149,Female,No,No,Yes,5,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,51.0,286.8,2789,Low Risk,7.824160158634186,93.88992190361023,427.8741702437401,Medium Priority
9537-VHDTA,0,0,0.3036595,Female,No,No,Yes,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,51.2,51.2,3699,Low Risk,15.547366333007814,186.56839599609376,1123.2364856600761,High Priority
2754-XBHTB,1,1,0.57369614,Female,No,No,No,9,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),77.65,714.15,3847,Medium Risk,44.54750499725342,534.5700599670411,2207.0090370178223,Critical Priority
5975-BAICR,0,0,0.022306615,Male,No,Yes,Yes,36,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),63.7,2188.5,2504,Low Risk,1.420931406505406,17.051176878064872,55.85576517879963,Low Priority
3301-VKTGC,0,0,0.016018223,Male,No,Yes,Yes,68,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),85.5,5696.6,4380,Low Risk,1.3695580679923296,16.434696815907955,70.15981681644917,Low Priority
2877-VDUER,0,0,0.016175775,Female,No,Yes,Yes,35,No,No phone service,DSL,No,No,No,Yes,Yes,No,One year,No,Mailed check,40.9,1383.6,5691,Low Risk,0.6615891916677356,7.939070300012826,92.05633471347392,Low Priority
7717-BICXI,0,0,0.0050491043,Male,No,Yes,Yes,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.55,1205.05,4020,Low Risk,0.10375909411814065,1.2451091294176877,20.2973994333297,Low Priority
0562-FGDCR,0,0,0.0021968172,Female,No,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Mailed check,74.55,5430.65,4703,Low Risk,0.16377272175159305,1.9652726610191165,10.331631259527057,Low Priority
3705-PSNGL,1,0,0.051615976,Male,No,No,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,930.45,5398,Low Risk,1.0529659062623977,12.635590875148772,278.623037353158,Medium Priority
0048-LUMLS,0,0,0.023158113,Male,No,Yes,Yes,37,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),91.2,3247.55,5263,Low Risk,2.1120198637247087,25.344238364696505,121.88114630244672,Low Priority
6497-TILVL,0,0,0.107392095,Female,No,Yes,Yes,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.7,350.35,3097,Low Risk,5.444779217988253,65.33735061585904,332.59331830590963,Medium Priority
2108-YKQTY,1,0,0.33195716,Female,No,No,No,4,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),50.7,151.3,4930,Low Risk,16.830228084325793,201.9627370119095,1636.5488058328629,High Priority
3658-KIBGF,1,1,0.5487825,Female,No,No,No,1,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,54.9,54.9,2833,Medium Risk,30.1281607568264,361.5379290819168,1554.7009002566338,High Priority
5482-NUPNA,1,0,0.20845258,Female,No,No,No,4,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,60.4,272.15,5730,Low Risk,12.590535974502563,151.08643169403075,1194.433296918869,High Priority
7410-KTVFV,1,0,0.28565967,Male,No,Yes,No,18,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,49.55,878.35,2815,Low Risk,14.154436689615249,169.85324027538297,804.1319733858109,High Priority
9033-EOXWV,1,0,0.15127325,Female,No,No,No,12,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,No,Mailed check,74.05,872.65,4149,Low Risk,11.201784205436706,134.42141046524046,627.6327166557312,Medium Priority
8821-XNHVZ,1,1,0.8250679,Female,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,80.05,80.05,2943,High Risk,66.04668361544609,792.560203385353,2428.174764275551,Critical Priority
8224-KDLKN,0,0,0.0037086534,Male,No,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.0,1738.9,4275,Low Risk,0.09271633462049067,1.112596015445888,15.854493220103905,Low Priority
4825-FUREZ,0,0,0.029904403,Male,No,Yes,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,20.25,835.5,5940,Low Risk,0.6055641565471888,7.266769878566265,177.63215258717537,Medium Priority
7534-BFESC,1,1,0.51697475,Male,Yes,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,1712.7,2018,Medium Risk,39.34177826046943,472.1013391256332,1043.2550398111343,High Priority
9138-EFSMO,0,0,0.02064971,Male,No,Yes,Yes,26,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),78.95,2034.25,4237,Low Risk,1.630294657405466,19.56353588886559,87.49282410927117,Low Priority
4227-OJHAL,0,0,0.01399686,Female,No,Yes,Yes,68,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),73.0,5163.0,4156,Low Risk,1.0217707809060812,12.261249370872974,58.17095021158457,Low Priority
7279-NMVJC,0,0,0.04337961,Female,No,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.9,323.15,2093,Low Risk,0.8632542099803685,10.359050519764422,90.79352067783475,Low Priority
8591-TKMZH,0,0,0.014243916,Male,No,Yes,Yes,59,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,111.1,6555.2,4952,Low Risk,1.5824990317225456,18.989988380670546,70.5358704328537,Low Priority
9283-LZQOH,1,1,0.55485296,Male,No,Yes,No,13,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.4,896.75,3687,Medium Risk,41.2810604095459,495.3727249145508,2045.7428727149963,Critical Priority
3594-IVHJZ,0,0,0.21876031,Female,No,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.45,42.45,2606,Low Risk,4.473648372292518,53.68378046751022,570.0893720388412,Medium Priority
1945-XISKS,0,0,0.015468853,Female,No,Yes,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.65,1335.2,4994,Low Risk,0.3039629534818232,3.6475554417818783,77.25144985690713,Low Priority
4359-INNWN,0,0,0.038546547,Female,No,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.05,337.9,4828,Low Risk,0.7728582732379436,9.274299278855324,186.10273033380508,Medium Priority
7649-SIJJF,0,0,0.02141329,Male,No,Yes,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,80.1,5585.4,6045,Low Risk,1.7152045989409088,20.582455187290904,129.44334332831204,Low Priority
9254-RBFON,1,0,0.26100457,Female,No,Yes,No,17,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),98.6,1704.95,5160,Low Risk,25.735050320625305,308.82060384750366,1346.7835664749146,High Priority
0970-ETWGE,1,1,0.87569535,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.55,89.55,4996,High Risk,78.4185183942318,941.0222207307816,4374.973957538605,Critical Priority
7762-ONLJY,0,0,0.026779408,Female,No,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.7,94.45,4122,Low Risk,0.5275543304160237,6.330651964992285,110.38471827283502,Low Priority
6710-HSJRD,0,1,0.50157994,Male,No,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,114.1,7132.15,5239,Medium Risk,57.23027119040489,686.7632542848587,2627.777307331562,Critical Priority
8873-GLDMH,0,1,0.6349759,Female,No,No,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.85,401.3,4220,Medium Risk,46.89297096729278,562.7156516075133,2679.598340988159,Critical Priority
9907-SWKKF,1,1,0.59947675,Female,Yes,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,25.05,25.05,4842,Medium Risk,15.016892704367638,180.20271245241167,2902.6664460897446,Critical Priority
4658-HCOHW,1,1,0.63073146,Female,No,Yes,No,21,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,102.8,2110.15,3123,Medium Risk,64.83919444084167,778.0703332901,1969.7743602991104,Critical Priority
9330-VOFSZ,0,0,0.14457181,Female,No,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),110.8,6640.7,5942,Low Risk,16.018556654453278,192.22267985343933,859.0457007288933,High Priority
2860-RANUS,1,1,0.5005711,Female,Yes,No,No,20,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),85.8,1727.5,3336,Medium Risk,42.94899798631668,515.3879758358001,1669.9050965309143,High Priority
6234-PFPXL,0,0,0.42181712,Male,No,Yes,No,22,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),95.9,2234.95,3207,Low Risk,40.45226218104363,485.4271461725235,1352.7675163149834,High Priority
7205-BAIAD,0,0,0.022511384,Female,No,No,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.6,827.3,3091,Low Risk,0.46373450048267845,5.564814005792141,69.58268645592034,Low Priority
3858-VOBET,1,1,0.5020276,Male,No,No,No,23,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.95,1710.45,5897,Medium Risk,37.62696646153927,451.5235975384712,2960.4565873742104,Critical Priority
5103-MHMHY,1,0,0.31717592,Female,No,No,Yes,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.95,45.95,4563,Low Risk,14.574233743548394,174.89080492258074,1447.2737447619438,High Priority
6119-SPUDB,0,0,0.030086683,Male,No,No,No,46,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Mailed check,38.25,1755.35,2653,Low Risk,1.1508156289346516,13.80978754721582,79.81997028924525,Low Priority
9389-ACWBI,0,0,0.23742814,Female,No,Yes,Yes,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),69.95,320.4,3850,Low Risk,16.60809864625335,199.29718375504018,914.0983529388905,High Priority
3454-JFUBC,0,0,0.017941752,Male,Yes,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),20.0,1396.0,6136,Low Risk,0.35883504897356033,4.306020587682724,110.09059302508831,Low Priority
1768-ZAIFU,1,1,0.7610214,Female,Yes,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,25.2,25.2,5688,High Risk,19.177738666534424,230.1328639984131,4328.689584732056,Critical Priority
7017-VFULY,0,0,0.18765663,Female,No,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.1,43.15,4158,Low Risk,3.7718981847167017,45.262778216600424,780.2762513458729,High Priority
9221-OTIVJ,1,1,0.74943584,Female,Yes,No,No,14,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.85,1531.4,2292,High Risk,78.57834803760052,942.9401764512063,1717.7069499492645,High Priority
2482-CZGBB,1,1,0.61051095,Male,No,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.0,740.0,3156,Medium Risk,42.73576617240906,512.8291940689087,1926.7725434303284,Critical Priority
7018-WBJNK,0,0,0.17640474,Male,No,No,Yes,13,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),78.3,1033.95,5566,Low Risk,13.812491485476494,165.74989782571794,981.8688072562218,High Priority
3331-HQDTW,1,0,0.3973344,Female,No,No,No,34,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,109.8,3587.25,3410,Low Risk,43.627316772937775,523.5278012752533,1354.9102932214737,High Priority
4695-VADHF,1,0,0.3110315,Male,No,Yes,No,18,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,57.45,990.85,2989,Low Risk,17.868759132921696,214.42510959506035,929.6731252968311,High Priority
4086-WITJG,0,0,0.0030384318,Male,No,Yes,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.7,1301.1,4808,Low Risk,0.059857105487026274,0.7182852658443153,14.608779856935143,Low Priority
